highway,maxspeed,lanes,oneway,latitude,longitude
secondary,25 mph,3,yes,40.764769,-73.9734993
secondary,25 mph,3,yes,40.7644222,-73.9733444
residential,25 mph,1,yes,40.7407525,-73.9897627
residential,20 mph,1,yes,40.7097183,-74.0086943
residential,25 mph,1,yes,40.7118036,-73.9867923
secondary,25 mph,1,yes,40.7298434,-74.0105964
residential,25 mph,1,yes,40.7280156,-73.9951673
residential,25 mph,1,yes,40.7551794,-73.9625062
residential,20 mph,1,yes,40.7040484,-74.0123957
residential,25 mph,1,yes,40.7224742,-73.9871261
residential,25 mph,2,no,40.7357291,-73.9929717
trunk,20 mph,2,yes,40.7217668,-74.0058743
tertiary,25 mph,1,yes,40.7698173,-73.9861816
residential,20 mph,1,yes,40.7368895,-74.0033885
residential,25 mph,1,yes,40.7363192,-74.0074666
residential,20 mph,1,yes,40.7053924,-74.008417
residential,25 mph,2,no,40.7261282,-74.0103922
primary,25 mph,3,yes,40.7716639,-73.9866743
residential,25 mph,1,yes,40.7185987,-73.9766311
residential,25 mph,1,yes,40.7154283,-73.978222
primary,25 mph,4,yes,40.7239181,-73.9909947
residential,20 mph,2,no,40.7082191,-74.0175555
secondary,25 mph,2,yes,40.7887738,-73.9557023
secondary,25 mph,1,yes,40.7890971,-73.9567493
secondary,25 mph,1,yes,40.791758,-73.9628963
secondary,25 mph,3,no,40.7831241,-73.9742625
residential,25 mph,1,yes,40.7298884,-73.9893048
residential,25 mph,1,yes,40.7226227,-73.9870691
residential,25 mph,3,yes,40.7628507,-73.9913249
unclassified,25 mph,1,yes,40.7625934,-73.9984712
unclassified,20 mph,1,yes,40.7137493,-74.0046238
residential,25 mph,2,yes,40.7928328,-73.965232
residential,20 mph,1,yes,40.7060624,-74.0169078
secondary,20 mph,2,yes,40.7142384,-74.0027506
secondary,25 mph,3,yes,40.7516062,-73.9861842
primary,20 mph,2,no,40.7093787,-73.9949784
motorway_link,40 mph,1,yes,40.7106064,-73.9830745
primary,20 mph,1,yes,40.703006,-74.0083214
residential,25 mph,1,yes,40.7328322,-74.009834
residential,20 mph,2,no,40.7111286,-74.0006507
secondary,25 mph,4,no,40.7863347,-73.9717981
residential,25 mph,1,yes,40.7847728,-73.9523772
residential,25 mph,1,yes,40.7837502,-73.9577523
residential,25 mph,1,yes,40.7398474,-74.006178
primary,25 mph,4,yes,40.7234737,-74.0038953
residential,20 mph,1,yes,40.7210673,-74.0056323
tertiary,25 mph,2,yes,40.7653425,-73.9523066
residential,20 mph,2,no,40.7168383,-74.0158033
residential,25 mph,1,yes,40.7517768,-74.0079278
unclassified,20 mph,1,yes,40.7145377,-74.0055719
primary,25 mph,5,no,40.7478717,-73.983202
tertiary,25 mph,1,yes,40.7455858,-73.9855927
residential,25 mph,1,yes,40.7219473,-73.9974562
residential,25 mph,1,yes,40.7266778,-74.0081955
secondary,25 mph,2,no,40.7786683,-73.967821
residential,25 mph,1,yes,40.7174297,-73.9957833
residential,25 mph,1,yes,40.7164966,-73.9928649
residential,25 mph,1,yes,40.715194,-73.9812577
residential,25 mph,1,yes,40.7472497,-73.9719793
residential,20 mph,1,yes,40.7198322,-74.007273
residential,25 mph,1,yes,40.7795418,-73.9516456
residential,25 mph,1,yes,40.7373675,-73.9947285
secondary,25 mph,3,yes,40.7415193,-73.9875148
residential,25 mph,1,yes,40.7182527,-73.9845272
residential,25 mph,1,yes,40.7443434,-73.9864984
residential,25 mph,1,yes,40.7159436,-73.9828221
residential,25 mph,1,yes,40.7183817,-73.9757556
residential,25 mph,1,yes,40.7151799,-73.9774082
residential,25 mph,1,yes,40.7748864,-73.9787929
residential,25 mph,1,yes,40.7697776,-73.9506722
primary,25 mph,2,yes,40.7593953,-73.9988862
residential,25 mph,1,yes,40.7329332,-73.9904464
residential,20 mph,1,yes,40.7148171,-73.9980192
residential,20 mph,1,yes,40.7081116,-74.0140019
service,25 mph,2,no,40.7511818,-73.9931265
residential,25 mph,1,yes,40.7484021,-73.9865275
residential,20 mph,1,yes,40.7168532,-74.0146714
residential,20 mph,1,yes,40.7164896,-74.0147812
residential,25 mph,1,yes,40.7373533,-73.9908751
residential,25 mph,1,yes,40.7320323,-74.0024763
residential,25 mph,2,yes,40.739181,-73.9849987
tertiary,25 mph,1,yes,40.7644947,-73.9599599
unclassified,15 mph,1,yes,40.7531144,-73.9579172
residential,15 mph,2,no,40.7576832,-73.9543573
service,20 mph,1,no,40.7181173,-74.0038426
residential,20 mph,1,yes,40.7152295,-74.0006609
secondary,25 mph,3,yes,40.7639314,-73.9722259
residential,25 mph,1,no,40.755982,-73.9614165
service,25 mph,1,no,40.7124332,-73.9843412
residential,20 mph,1,yes,40.711492,-73.9955086
secondary,20 mph,3,yes,40.7118082,-74.0065067
secondary,20 mph,1,yes,40.7116487,-74.0046669
residential,20 mph,1,yes,40.7094841,-74.0074285
residential,25 mph,1,yes,40.7285914,-74.0030493
primary,25 mph,3,yes,40.7275523,-74.0009851
residential,20 mph,1,yes,40.704977,-74.0098617
secondary,25 mph,5,no,40.7414574,-73.9893672
residential,15 mph,2,no,40.7604121,-73.9515994
primary,25 mph,2,no,40.7602241,-74.0008206
secondary,25 mph,1,yes,40.7883533,-73.9547228
residential,25 mph,1,yes,40.7287032,-73.9860499
residential,20 mph,1,yes,40.725282,-73.9779655
residential,25 mph,1,yes,40.7320265,-73.9939271
residential,20 mph,1,yes,40.736175,-74.0035581
secondary,25 mph,2,yes,40.7809997,-73.9613202
secondary,25 mph,1,yes,40.7812727,-73.9623857
tertiary,25 mph,2,yes,40.7703536,-73.9854738
unclassified,25 mph,3,yes,40.7468173,-73.9846908
residential,25 mph,1,yes,40.7440463,-74.0084746
residential,25 mph,1,yes,40.7398519,-73.9777405
residential,25 mph,1,no,40.7406144,-73.9757121
residential,25 mph,1,yes,40.7257631,-73.9976619
residential,20 mph,1,no,40.7173375,-74.0150371
primary,20 mph,4,no,40.7110553,-74.0004338
secondary,25 mph,1,yes,40.7455143,-73.9717055
residential,25 mph,1,yes,40.7301427,-73.9960694
residential,25 mph,1,yes,40.7322879,-74.0004589
residential,25 mph,1,yes,40.7161886,-73.9807261
primary,25 mph,7,no,40.7345484,-73.9862762
unclassified,15 mph,1,yes,40.7549121,-73.9572799
residential,5 mph,1,yes,40.7896661,-73.9697901
residential,25 mph,1,yes,40.7325832,-73.9983089
secondary,25 mph,1,yes,40.769339,-73.9949357
motorway,40 mph,3,yes,40.7287973,-73.9720626
primary,25 mph,1,yes,40.7173504,-73.9879177
residential,20 mph,1,yes,40.7134116,-73.9937949
residential,25 mph,1,yes,40.7328959,-74.0019664
residential,25 mph,1,yes,40.7336111,-74.000518
residential,20 mph,1,yes,40.7029998,-74.012986
residential,20 mph,1,yes,40.7088822,-74.0135468
residential,25 mph,1,yes,40.757941,-73.9815883
residential,25 mph,1,yes,40.7306684,-73.99884
residential,20 mph,2,no,40.7102972,-73.9941157
residential,20 mph,1,yes,40.7347601,-74.0040645
residential,25 mph,1,yes,40.7109693,-73.9814661
residential,25 mph,2,no,40.7146949,-73.9795885
tertiary_link,15 mph,1,yes,40.7603058,-73.9516226
unclassified,15 mph,1,yes,40.755731,-73.9543427
residential,20 mph,2,no,40.7173773,-74.0068936
residential,25 mph,1,yes,40.7587992,-73.9739189
residential,25 mph,1,yes,40.7987877,-73.9697432
residential,25 mph,1,yes,40.7154012,-73.9768526
residential,25 mph,2,no,40.7281646,-73.9988708
secondary,25 mph,2,yes,40.7562418,-73.9990904
residential,20 mph,1,yes,40.7060828,-74.0137882
residential,20 mph,2,no,40.7065697,-74.0155285
residential,25 mph,1,yes,40.7335413,-74.0020971
residential,20 mph,1,yes,40.7186797,-74.0061611
primary,25 mph,2,yes,40.7331399,-73.989938
residential,25 mph,1,yes,40.7302349,-73.9906158
residential,20 mph,1,no,40.723287,-73.9805774
residential,25 mph,1,yes,40.7262978,-73.9878006
residential,20 mph,1,yes,40.7243704,-73.9832411
unclassified,25 mph,1,no,40.7436007,-73.9751993
residential,25 mph,1,yes,40.7394032,-73.9884534
service,25 mph,1,yes,40.7243752,-73.9958223
trunk,30 mph,4,yes,40.7071306,-74.015752
residential,25 mph,1,yes,40.7429594,-73.9889653
service,25 mph,1,no,40.7151624,-73.9802947
secondary,25 mph,2,yes,40.7650136,-73.9727912
secondary,25 mph,2,yes,40.7210322,-73.9975592
construction,20 mph,1,yes,40.7167137,-74.0003227
motorway_link,25 mph,2,yes,40.7095908,-74.0011881
pedestrian,20 mph,1,no,40.7076333,-74.011471
pedestrian,20 mph,1,yes,40.7057825,-74.0122413
secondary,20 mph,3,yes,40.7115411,-74.0104209
secondary,25 mph,4,no,40.782697,-73.9772481
unclassified,25 mph,1,no,40.773631,-73.989418
residential,20 mph,1,yes,40.7119362,-73.9899152
residential,20 mph,1,yes,40.7157518,-74.0004622
residential,20 mph,1,yes,40.7147809,-74.0004986
service,25 mph,1,no,40.7385888,-73.9750375
residential,25 mph,2,no,40.7366423,-73.9951308
secondary,25 mph,2,yes,40.715863,-73.9948781
residential,25 mph,1,yes,40.7409725,-73.9958281
unclassified,25 mph,1,yes,40.7478806,-73.9725168
residential,25 mph,2,yes,40.7433779,-73.9861072
pedestrian,20 mph,1,yes,40.7144481,-73.9978566
pedestrian,25 mph,1,no,40.7044815,-74.0078921
residential,25 mph,1,yes,40.7748496,-73.9806601
residential,20 mph,1,yes,40.7309634,-74.0054734
secondary,25 mph,6,no,40.7580202,-73.9601978
residential,25 mph,1,yes,40.7131445,-73.9885454
residential,25 mph,1,yes,40.7381501,-74.0073058
tertiary,20 mph,2,no,40.7056039,-74.0052473
residential,25 mph,1,yes,40.7251231,-74.0085088
residential,25 mph,1,yes,40.7311749,-73.9882957
residential,25 mph,1,yes,40.7332473,-73.9931763
tertiary,20 mph,2,no,40.7217742,-73.9836212
residential,25 mph,1,yes,40.7269531,-73.9947462
secondary,25 mph,3,yes,40.7613386,-73.9641324
secondary,20 mph,2,no,40.7248544,-73.9782894
unclassified,25 mph,1,yes,40.7276325,-74.002834
residential,25 mph,1,yes,40.7394245,-74.0048595
tertiary,25 mph,1,no,40.7199327,-73.9787574
residential,25 mph,1,yes,40.733002,-73.9823883
residential,25 mph,1,yes,40.7359631,-73.9894001
residential,25 mph,1,yes,40.7369216,-73.9917143
unclassified,25 mph,2,no,40.7295039,-73.9740923
secondary,25 mph,3,yes,40.7679139,-73.9699945
secondary,25 mph,1,yes,40.7410964,-74.0088316
residential,20 mph,1,yes,40.7160557,-74.0064035
residential,25 mph,1,yes,40.7243311,-73.9999236
residential,25 mph,1,yes,40.7297389,-73.9953391
residential,20 mph,1,yes,40.7070183,-74.0137422
residential,25 mph,1,yes,40.7330654,-73.9935297
residential,25 mph,1,yes,40.7160557,-73.9912946
residential,25 mph,1,yes,40.7293925,-73.9945275
residential,20 mph,1,yes,40.7136535,-73.9945583
residential,20 mph,1,yes,40.730164,-74.0061566
pedestrian,20 mph,1,yes,40.7073006,-74.0105927
residential,25 mph,1,no,40.7299006,-74.0038306
primary,20 mph,3,yes,40.7048846,-74.0152928
primary,25 mph,2,yes,40.738307,-73.987689
residential,25 mph,1,yes,40.7833729,-73.9548673
service,20 mph,1,no,40.7085966,-74.0059096
residential,25 mph,1,yes,40.7330195,-73.983411
residential,25 mph,3,yes,40.7627516,-73.9713507
secondary,25 mph,3,yes,40.7430535,-73.9884936
primary,20 mph,2,yes,40.7138755,-73.9976866
secondary,20 mph,3,yes,40.7065832,-74.0139286
residential,25 mph,1,yes,40.7969373,-73.9711987
service,20 mph,1,yes,40.7090046,-74.0093529
service,20 mph,1,yes,40.7210534,-74.0092384
secondary,20 mph,2,no,40.7086913,-73.9991754
residential,25 mph,1,yes,40.7302868,-74.0074701
residential,20 mph,1,yes,40.7302125,-74.0050815
primary,25 mph,4,no,40.7522352,-73.9779297
residential,25 mph,1,yes,40.7433614,-73.9783978
residential,25 mph,1,yes,40.7772932,-73.9825991
service,25 mph,1,no,40.7323907,-73.9977657
residential,20 mph,1,yes,40.7069658,-74.0025352
unclassified,20 mph,1,yes,40.7106238,-74.0058403
residential,20 mph,1,yes,40.7354478,-74.0039045
residential,25 mph,1,yes,40.7113819,-73.9826821
residential,20 mph,1,yes,40.7027823,-74.0123095
residential,20 mph,1,yes,40.7099238,-73.9952412
primary,20 mph,3,no,40.7028418,-74.0118746
secondary,25 mph,4,no,40.7867763,-73.9530811
residential,20 mph,1,yes,40.725189,-73.9795874
secondary,25 mph,1,yes,40.731195,-73.9938417
residential,25 mph,1,yes,40.7273005,-73.9918405
residential,25 mph,1,yes,40.7334432,-74.008224
secondary,25 mph,3,yes,40.7722086,-73.9784167
secondary,25 mph,1,yes,40.7687514,-73.9719533
residential,25 mph,1,yes,40.7221315,-73.9742315
residential,25 mph,1,yes,40.7398514,-73.9754061
residential,25 mph,1,yes,40.7174533,-73.9777766
pedestrian,20 mph,1,yes,40.7069817,-74.0129898
residential,25 mph,1,yes,40.7230253,-73.9976815
residential,20 mph,1,yes,40.7107222,-74.0101317
secondary,25 mph,2,yes,40.7493932,-73.9828186
trunk,30 mph,4,yes,40.7620579,-74.0009572
residential,25 mph,1,yes,40.7302686,-74.0010989
residential,25 mph,1,yes,40.7223646,-73.993271
secondary,25 mph,3,yes,40.729383,-74.0052024
residential,25 mph,1,no,40.777409,-73.9886704
service,20 mph,1,yes,40.7162788,-74.0035156
residential,25 mph,1,yes,40.7370403,-73.9749935
