highway,maxspeed,lanes,oneway,latitude,longitude
unclassified,25 mph,1,yes,40.7551645,-74.0005199
primary,25 mph,1,yes,40.7525713,-74.0021593
primary,25 mph,1,yes,40.7524131,-74.001785
primary,25 mph,2,yes,40.7521225,-74.0010917
secondary,25 mph,2,yes,40.7693673,-73.9809876
residential,20 mph,1,yes,40.7118673,-73.9969098
primary,25 mph,2,yes,40.7592807,-73.9682775
primary,25 mph,2,yes,40.7592569,-73.96822
primary,25 mph,2,yes,40.7605817,-73.9672457
residential,25 mph,3,yes,40.7581226,-73.964557
primary,25 mph,2,yes,40.7598886,-73.9677013
unclassified,25 mph,1,yes,40.7518605,-74.0023705
unclassified,25 mph,1,yes,40.7504063,-73.9989262
residential,20 mph,1,yes,40.7116805,-73.9934182
primary,25 mph,1,yes,40.7425643,-73.9722576
residential,25 mph,1,yes,40.7508928,-73.9877812
residential,25 mph,1,yes,40.7614724,-73.9802644
residential,25 mph,2,yes,40.7625429,-73.982804
unclassified,25 mph,1,yes,40.7700165,-73.9947399
unclassified,25 mph,2,yes,40.7706645,-73.9943249
trunk,30 mph,5,yes,40.7712876,-73.9942936
residential,25 mph,1,yes,40.7232103,-74.0040418
residential,25 mph,1,yes,40.7238712,-74.0040127
residential,25 mph,1,yes,40.729929,-73.9973242
residential,25 mph,1,yes,40.7257497,-73.9941152
residential,25 mph,1,yes,40.7341407,-73.9971897
secondary,25 mph,2,yes,40.7541213,-73.9764321
primary,25 mph,6,yes,40.7482654,-73.9763035
primary,25 mph,3,yes,40.7265138,-73.9988776
primary,25 mph,3,yes,40.7256473,-73.9971193
primary_link,25 mph,1,yes,40.7281882,-74.0028621
residential,25 mph,1,yes,40.7387155,-74.0036022
secondary,25 mph,1,yes,40.7119023,-73.9848678
residential,20 mph,2,no,40.7102852,-74.017239
residential,25 mph,1,yes,40.7036388,-73.9543367
secondary,25 mph,2,yes,40.7543774,-73.9946544
secondary,25 mph,2,no,40.7088068,-73.9507627
tertiary,25 mph,2,no,40.736777,-73.9503931
tertiary,25 mph,2,no,40.7923916,-73.9753061
secondary,20 mph,2,yes,40.7053503,-74.0136963
primary,25 mph,1,no,40.7054074,-73.9501662
primary,25 mph,2,no,40.70483,-73.9491297
service,5 mph,1,no,40.7770899,-73.9763842
residential,20 mph,1,yes,40.7048313,-74.013316
residential,25 mph,1,no,40.713054,-73.985427
unclassified,25 mph,1,yes,40.7620261,-73.9990464
secondary,25 mph,2,no,40.7804849,-73.9715706
secondary,25 mph,2,no,40.7776561,-73.9647289
secondary,25 mph,3,no,40.7774288,-73.9644335
unclassified,25 mph,3,yes,40.7494334,-73.9742969
unclassified,15 mph,1,yes,40.7542694,-73.95591
residential,25 mph,1,yes,40.76029,-73.9774496
residential,25 mph,1,yes,40.7572763,-73.9703005
residential,25 mph,1,yes,40.758121,-73.9722992
residential,25 mph,1,yes,40.7559633,-73.967195
primary,25 mph,4,no,40.749004,-73.9702529
primary,25 mph,5,no,40.7497492,-73.9720076
primary,25 mph,4,no,40.7493945,-73.9711753
secondary,25 mph,2,yes,40.7918669,-73.9632348
secondary,25 mph,3,yes,40.7921518,-73.9638032
service,5 mph,1,yes,40.7762027,-73.985285
residential,20 mph,1,yes,40.7043623,-74.013255
primary,25 mph,3,yes,40.7861774,-73.9527023
secondary,25 mph,2,no,40.7791731,-73.9691163
secondary,25 mph,2,no,40.7799753,-73.9710661
secondary,25 mph,2,no,40.7780248,-73.965672
secondary,25 mph,2,no,40.7782036,-73.9665026
secondary,25 mph,2,no,40.7795498,-73.9700945
secondary,25 mph,2,no,40.7801988,-73.9713823
secondary,25 mph,2,no,40.7778208,-73.9649643
secondary,25 mph,1,yes,40.7916578,-73.9636536
secondary,25 mph,2,no,40.7916335,-73.9625332
secondary,25 mph,1,yes,40.7891576,-73.9566146
secondary,25 mph,3,yes,40.7880624,-73.9560018
secondary,25 mph,2,no,40.789371,-73.9571334
secondary,25 mph,2,no,40.7894874,-73.9574084
secondary,25 mph,2,no,40.7905817,-73.9600058
secondary,25 mph,2,yes,40.7885327,-73.956323
secondary,25 mph,2,no,40.7844642,-73.9671877
secondary,25 mph,2,no,40.7847316,-73.9677284
trunk,30 mph,3,yes,40.7489877,-74.008027
trunk,30 mph,3,yes,40.7483096,-74.0078374
trunk,30 mph,5,yes,40.7618447,-74.0012018
secondary,25 mph,1,yes,40.7947674,-73.9741461
residential,25 mph,2,no,40.7375452,-73.9761395
residential,25 mph,1,yes,40.7370875,-73.9749567
residential,25 mph,1,yes,40.7105723,-73.9593678
secondary,25 mph,2,yes,40.7002288,-73.9621659
service,25 mph,1,yes,40.7292481,-73.9753221
secondary,25 mph,2,yes,40.7307066,-73.9740613
secondary,25 mph,1,yes,40.7307634,-73.9741155
primary,25 mph,2,no,40.7145863,-73.9820511
residential,25 mph,1,yes,40.7299948,-73.988221
residential,25 mph,1,yes,40.7302715,-73.9897703
residential,25 mph,1,yes,40.7298707,-73.9888072
tertiary,25 mph,3,yes,40.7520016,-73.998893
tertiary,25 mph,1,yes,40.7503468,-73.9949718
tertiary,25 mph,2,yes,40.7510106,-73.9965473
tertiary,25 mph,3,yes,40.750457,-73.9952343
secondary,25 mph,4,yes,40.7501231,-73.9949693
tertiary,25 mph,1,yes,40.7492004,-73.9941825
secondary,25 mph,3,yes,40.7505878,-73.9946303
primary,25 mph,5,yes,40.7532238,-74.0001417
primary,25 mph,3,yes,40.7679768,-73.9814298
service,20 mph,1,yes,40.7087018,-74.0055769
residential,20 mph,4,no,40.7153785,-74.0141542
secondary,20 mph,1,yes,40.7140222,-74.0125194
residential,25 mph,1,yes,40.7508644,-73.9786183
primary,25 mph,1,yes,40.7508581,-73.9787025
residential,25 mph,1,yes,40.7508923,-73.9786821
primary,25 mph,2,yes,40.750869,-73.9787273
primary,25 mph,3,yes,40.7505534,-73.9789489
primary,25 mph,5,yes,40.747368,-73.9709124
secondary,25 mph,1,yes,40.7105429,-73.96011
secondary,25 mph,3,yes,40.7610524,-73.9981928
secondary,25 mph,4,no,40.7879873,-73.9757207
living_street,10 mph,1,yes,40.7449122,-73.9888032
residential,25 mph,1,yes,40.7448423,-73.9876862
living_street,10 mph,1,yes,40.7464193,-73.9885216
residential,25 mph,1,yes,40.743721,-73.9887991
secondary,25 mph,3,yes,40.7418567,-73.9893713
secondary_link,25 mph,2,yes,40.7416913,-73.98904
tertiary,25 mph,1,yes,40.7716439,-73.9885602
motorway,45 mph,3,yes,40.7004043,-73.9853558
motorway,45 mph,2,yes,40.7010285,-73.9867791
motorway,45 mph,2,yes,40.7012534,-73.9881712
motorway,45 mph,3,yes,40.7014042,-73.9886425
motorway,45 mph,2,yes,40.7014085,-73.9891719
motorway,45 mph,3,yes,40.7015523,-73.9896877
motorway,45 mph,3,yes,40.7014796,-73.9891639
motorway,45 mph,3,yes,40.7015761,-73.9898838
motorway,45 mph,2,yes,40.7011821,-73.9877151
motorway,45 mph,2,yes,40.7013281,-73.9886501
motorway,45 mph,3,yes,40.7008434,-73.9862303
primary,25 mph,1,yes,40.7923601,-73.9484806
motorway,45 mph,2,yes,40.7002079,-73.9957814
residential,25 mph,2,yes,40.716607,-73.9833771
residential,25 mph,1,yes,40.7159243,-73.9808782
residential,20 mph,1,yes,40.7123637,-74.0008363
residential,25 mph,1,yes,40.7176405,-73.9982641
secondary,25 mph,1,yes,40.700791,-73.9909831
primary,20 mph,2,yes,40.711546,-73.9921105
primary,20 mph,2,yes,40.711793,-73.9924396
primary,25 mph,4,yes,40.7227988,-73.9885982
primary,20 mph,2,yes,40.7145352,-73.9928331
secondary,20 mph,1,yes,40.715868,-73.9949548
secondary,20 mph,2,yes,40.7157357,-73.9946427
residential,20 mph,1,yes,40.7111553,-73.9903268
residential,20 mph,1,yes,40.7105969,-73.9941303
residential,25 mph,1,yes,40.7229925,-73.9877705
residential,25 mph,1,no,40.7137718,-73.9795797
secondary,25 mph,1,yes,40.7146086,-73.9835867
secondary,25 mph,3,yes,40.7719123,-73.9795167
secondary,25 mph,4,no,40.7715675,-73.9793611
residential,25 mph,1,yes,40.7400748,-73.9900444
living_street,10 mph,1,yes,40.7391455,-73.9897653
residential,25 mph,1,yes,40.7546946,-73.9867844
residential,25 mph,1,yes,40.7218232,-73.9874622
primary,25 mph,3,yes,40.7222469,-73.9866057
secondary,20 mph,2,no,40.7154878,-73.9938244
secondary,20 mph,2,yes,40.7156327,-73.9943302
living_street,10 mph,1,yes,40.7183624,-73.9593028
secondary,25 mph,1,yes,40.7105653,-73.9658433
residential,25 mph,1,yes,40.7221488,-73.9572491
primary,25 mph,1,yes,40.7935284,-73.9472879
residential,20 mph,2,no,40.7095057,-74.0166608
residential,20 mph,1,yes,40.7090797,-74.0164421
residential,20 mph,2,no,40.7092044,-74.016858
residential,25 mph,1,yes,40.7399623,-74.00712
residential,25 mph,1,yes,40.7412237,-74.0081356
residential,25 mph,1,yes,40.7435376,-73.956323
tertiary,25 mph,2,no,40.7371018,-73.9514126
primary,25 mph,4,yes,40.7746209,-73.9845199
primary,25 mph,3,yes,40.7760449,-73.983479
primary,25 mph,4,yes,40.768807,-73.988786
primary,25 mph,4,yes,40.7677362,-73.9895608
primary,25 mph,4,yes,40.7702514,-73.9877068
primary,25 mph,4,yes,40.7664808,-73.9904725
primary,25 mph,3,yes,40.7682684,-73.9891755
primary,25 mph,4,yes,40.7656265,-73.991092
primary,25 mph,3,yes,40.7668733,-73.990188
trunk,30 mph,3,yes,40.7091901,-74.0008735
trunk,30 mph,2,yes,40.7092945,-74.0007295
trunk,30 mph,1,yes,40.7006854,-73.9898745
trunk,30 mph,1,yes,40.6997585,-73.9891612
trunk,30 mph,2,yes,40.7015248,-73.9909406
trunk,30 mph,2,yes,40.701368,-73.9907385
trunk,25 mph,3,yes,40.7016913,-73.9914643
trunk,30 mph,2,yes,40.7020375,-73.9915987
primary,25 mph,3,yes,40.7732261,-73.9855371
primary,25 mph,3,yes,40.7738473,-73.9850852
residential,25 mph,2,no,40.7715136,-73.9863278
residential,25 mph,1,yes,40.7960582,-73.9669766
residential,25 mph,2,yes,40.7951039,-73.9648951
residential,25 mph,1,yes,40.7969052,-73.969073
service,20 mph,1,no,40.7941907,-73.9627702
residential,25 mph,2,yes,40.7934609,-73.9667929
residential,25 mph,2,yes,40.7945801,-73.9637978
residential,25 mph,1,yes,40.7350079,-74.0069766
residential,25 mph,1,yes,40.7258466,-74.0074716
residential,20 mph,1,yes,40.7051987,-74.0084341
living_street,10 mph,1,yes,40.7211259,-73.9563292
motorway,40 mph,1,yes,40.7464584,-73.9717101
tertiary,20 mph,2,no,40.7281528,-73.9789708
residential,20 mph,1,yes,40.723496,-73.979265
residential,25 mph,1,yes,40.7440308,-73.9975497
secondary,25 mph,3,yes,40.7429218,-73.9965002
residential,25 mph,1,yes,40.7428322,-73.9947109
residential,25 mph,1,yes,40.7349608,-73.9870225
trunk,35 mph,2,yes,40.7597196,-73.9612765
residential,20 mph,1,yes,40.7075276,-74.0015001
residential,20 mph,1,yes,40.7074919,-74.0022164
residential,25 mph,1,yes,40.7659031,-73.9927428
primary,25 mph,7,no,40.7373696,-73.9842206
residential,25 mph,1,yes,40.7343178,-73.9854974
primary,25 mph,4,yes,40.7230163,-73.9885704
primary,25 mph,4,yes,40.7225442,-73.9886778
residential,25 mph,1,yes,40.7131424,-74.0008393
primary,25 mph,3,yes,40.7177684,-73.9862327
residential,25 mph,1,yes,40.7176042,-73.9859266
primary,25 mph,6,yes,40.7601764,-73.964671
primary,25 mph,2,yes,40.7229075,-73.9885843
residential,25 mph,1,yes,40.7214397,-73.9928689
secondary,25 mph,4,no,40.7900575,-73.9658762
primary,25 mph,2,yes,40.7190618,-73.9756919
primary,25 mph,2,yes,40.7188876,-73.9750977
residential,25 mph,2,yes,40.7189533,-73.9754577
residential,20 mph,2,yes,40.7031509,-74.0141717
primary,25 mph,5,no,40.7711608,-73.9934095
secondary,20 mph,2,yes,40.7047187,-74.014146
tertiary,25 mph,1,no,40.7016534,-73.981007
motorway_link,25 mph,1,reversible,40.7058461,-74.0149947
residential,25 mph,2,no,40.7298086,-73.9584142
secondary,20 mph,2,yes,40.7082949,-74.0112921
residential,25 mph,1,no,40.7383376,-73.9744464
service,25 mph,1,yes,40.7493784,-74.0082891
residential,25 mph,1,yes,40.7269677,-73.9579944
residential,25 mph,2,yes,40.7920828,-73.9499455
secondary_link,20 mph,1,yes,40.7145272,-73.9929451
primary,25 mph,2,yes,40.7218903,-73.9892214
secondary,20 mph,1,no,40.7124721,-73.992418
residential,20 mph,1,yes,40.7117037,-73.9931875
primary,20 mph,3,yes,40.7107275,-73.9919405
residential,20 mph,1,yes,40.7117456,-73.9926727
trunk_link,25 mph,1,yes,40.7696909,-73.9950602
primary,25 mph,6,no,40.7685168,-73.9871397
primary,25 mph,4,yes,40.7687354,-73.9821968
primary,25 mph,4,yes,40.7693714,-73.9822181
primary,25 mph,4,yes,40.770202,-73.9822419
secondary,20 mph,3,yes,40.710672,-74.0092923
residential,20 mph,1,yes,40.7112204,-74.0097694
residential,25 mph,1,yes,40.7944282,-73.9691201
unclassified,20 mph,2,no,40.7142739,-74.0065216
unclassified,20 mph,3,no,40.7137335,-74.0053573
trunk,30 mph,6,yes,40.7107324,-74.0144751
trunk,30 mph,5,yes,40.7100773,-74.0149644
residential,20 mph,2,no,40.7113329,-74.0158876
tertiary,25 mph,2,no,40.7808118,-73.9837537
tertiary,25 mph,3,no,40.781291,-73.9834043
tertiary,25 mph,3,no,40.7816094,-73.9831706
tertiary,25 mph,2,no,40.7820832,-73.9828261
tertiary,25 mph,2,no,40.7833559,-73.9818972
tertiary,25 mph,3,no,40.7828896,-73.9822367
tertiary,25 mph,3,no,40.7838444,-73.9815405
tertiary,25 mph,3,no,40.7845039,-73.9810607
tertiary,25 mph,3,no,40.7841423,-73.9813235
tertiary,25 mph,3,no,40.7851989,-73.9805523
tertiary,25 mph,2,no,40.7848447,-73.9808125
tertiary,25 mph,3,no,40.7855175,-73.9803203
tertiary,25 mph,2,no,40.7859883,-73.9799778
tertiary,25 mph,3,no,40.7864625,-73.9796298
tertiary,25 mph,2,no,40.7872539,-73.9790553
tertiary,25 mph,3,no,40.7867789,-73.9794006
tertiary,25 mph,3,no,40.7877344,-73.9787029
tertiary,25 mph,3,no,40.7880507,-73.9784732
tertiary,25 mph,3,no,40.7884275,-73.9781968
tertiary,25 mph,4,no,40.7887403,-73.9779693
tertiary,25 mph,3,no,40.790351,-73.9767947
tertiary,25 mph,3,no,40.7906645,-73.9765642
tertiary,25 mph,2,no,40.7911323,-73.9762227
tertiary,25 mph,3,no,40.7916075,-73.9758762
tertiary,25 mph,3,no,40.7919277,-73.9756425
tertiary,25 mph,3,no,40.7928618,-73.9749637
tertiary,25 mph,3,no,40.7931762,-73.9747333
tertiary,25 mph,2,no,40.7936423,-73.974394
tertiary,25 mph,2,no,40.7944026,-73.9738399
living_street,20 mph,1,yes,40.7054708,-74.0133487
secondary,20 mph,2,yes,40.7100826,-74.009795
residential,25 mph,1,yes,40.7028698,-73.9943953
residential,25 mph,1,yes,40.7023717,-73.9939759
secondary,20 mph,1,yes,40.7143198,-73.9934849
residential,20 mph,1,yes,40.7144303,-73.9920186
residential,20 mph,1,yes,40.6981804,-73.9944506
residential,25 mph,1,yes,40.7177722,-73.9890745
residential,25 mph,1,yes,40.7176661,-73.990467
residential,25 mph,1,yes,40.7194763,-73.9886697
residential,25 mph,1,yes,40.7206566,-73.9880622
residential,25 mph,1,yes,40.7202684,-73.9889865
residential,25 mph,1,yes,40.7203482,-73.984853
tertiary,20 mph,2,no,40.7226485,-73.982984
tertiary,20 mph,2,no,40.7241755,-73.9818675
residential,25 mph,1,yes,40.7197113,-73.9871488
residential,25 mph,1,yes,40.7199549,-73.987952
primary,25 mph,3,yes,40.7248431,-74.0043032
residential,25 mph,1,yes,40.7278565,-74.0051738
residential,25 mph,1,yes,40.7401847,-74.0056611
residential,25 mph,1,yes,40.7415593,-73.9916875
residential,25 mph,1,yes,40.7489845,-74.0032461
residential,25 mph,1,yes,40.7471855,-73.9989856
residential,25 mph,1,yes,40.7298006,-74.0006552
residential,25 mph,1,yes,40.7819241,-73.9534144
residential,20 mph,1,yes,40.7153471,-73.9976799
residential,20 mph,1,yes,40.7157759,-73.9989073
residential,20 mph,1,yes,40.7102502,-74.0067347
secondary,20 mph,1,no,40.7149756,-73.9921314
residential,25 mph,1,yes,40.7180207,-73.9975206
residential,25 mph,1,yes,40.7184251,-73.9986751
residential,25 mph,1,yes,40.7193324,-73.9973879
residential,25 mph,1,yes,40.7231745,-73.9956566
residential,20 mph,1,yes,40.7080147,-74.0107366
residential,20 mph,1,yes,40.7065104,-74.008229
residential,25 mph,1,yes,40.7240924,-73.9935978
residential,25 mph,1,yes,40.7220189,-73.9944272
residential,25 mph,1,yes,40.7211298,-73.9942225
residential,25 mph,1,yes,40.7214695,-73.9950809
residential,25 mph,1,yes,40.7255569,-73.9933988
residential,25 mph,1,yes,40.725241,-73.9922193
residential,20 mph,1,yes,40.7039487,-74.0103298
residential,20 mph,1,yes,40.7265196,-73.9846419
residential,25 mph,1,yes,40.7281016,-73.986486
residential,25 mph,1,yes,40.7381421,-73.9873127
residential,25 mph,1,yes,40.7388573,-73.9890105
residential,25 mph,1,yes,40.7433306,-73.9840808
residential,25 mph,1,yes,40.7418478,-73.9805539
residential,25 mph,1,yes,40.7243606,-74.0015332
primary,25 mph,3,yes,40.7989968,-73.9667608
residential,25 mph,1,yes,40.7184671,-73.9913657
residential,25 mph,1,yes,40.7393979,-74.007196
residential,25 mph,1,yes,40.739374,-74.0088763
residential,25 mph,1,yes,40.7337414,-74.0019172
residential,25 mph,1,yes,40.729966,-73.9956847
primary,20 mph,1,yes,40.7129189,-73.9923429
secondary,20 mph,1,yes,40.7140827,-73.997506
secondary,25 mph,4,yes,40.7387501,-73.9995411
secondary,25 mph,4,yes,40.7411511,-73.9977911
secondary,25 mph,4,yes,40.7373152,-74.0005618
secondary,25 mph,3,yes,40.7405639,-73.9982184
secondary,25 mph,4,yes,40.7370347,-74.0007724
secondary,25 mph,4,yes,40.7355671,-74.0016774
secondary,25 mph,3,yes,40.7350565,-74.0019772
secondary,25 mph,4,yes,40.7367223,-74.0010134
secondary,25 mph,4,yes,40.7423228,-73.996936
secondary,25 mph,4,yes,40.7399765,-73.998644
secondary,25 mph,3,yes,40.7356967,-74.0016016
secondary,25 mph,4,yes,40.7339502,-74.0026175
secondary,25 mph,3,yes,40.7417399,-73.997361
residential,25 mph,2,yes,40.7499228,-73.980273
residential,25 mph,2,yes,40.7485865,-73.9771136
motorway_link,25 mph,1,yes,40.7021757,-74.0096265
motorway_link,25 mph,1,yes,40.7019554,-74.0102684
primary,25 mph,4,yes,40.7373713,-73.9812875
primary,25 mph,4,yes,40.7369156,-73.9816174
secondary,25 mph,3,yes,40.7411087,-73.9835912
primary,25 mph,2,yes,40.7506758,-73.9785912
primary,25 mph,3,no,40.7511375,-73.9783981
primary,25 mph,1,yes,40.7509105,-73.9786007
secondary,25 mph,2,yes,40.7603856,-73.9579911
residential,25 mph,1,yes,40.7603555,-73.9574582
primary,25 mph,4,yes,40.7606854,-73.9672476
residential,25 mph,2,no,40.7296797,-73.9597001
residential,25 mph,1,yes,40.7332774,-73.9598143
secondary,25 mph,2,no,40.7180453,-73.993456
primary,25 mph,2,yes,40.7480721,-73.970276
primary,25 mph,1,yes,40.7522623,-73.967102
primary,25 mph,6,yes,40.7543414,-73.9658041
primary,25 mph,5,yes,40.7549705,-73.9653495
primary,25 mph,2,yes,40.752562,-73.966915
primary,25 mph,5,yes,40.7540251,-73.9660251
primary,25 mph,5,yes,40.7560751,-73.9645441
primary,25 mph,4,yes,40.7520251,-73.9672694
primary,25 mph,6,yes,40.7556023,-73.9648888
residential,25 mph,1,yes,40.7346716,-73.9756395
residential,25 mph,1,yes,40.7357719,-73.978235
residential,25 mph,1,yes,40.7351191,-73.9764311
service,5 mph,1,yes,40.7570531,-74.0044908
secondary_link,20 mph,1,yes,40.711489,-74.0083437
secondary,25 mph,3,yes,40.7398292,-73.9908512
secondary,25 mph,2,yes,40.7325653,-73.9961489
secondary,25 mph,3,yes,40.7410314,-73.9899799
secondary,25 mph,3,yes,40.7378419,-73.9922969
primary,25 mph,2,no,40.7143132,-73.9811079
unclassified,20 mph,3,yes,40.713016,-74.0113784
secondary,20 mph,1,yes,40.7134774,-74.0113127
secondary,25 mph,1,yes,40.7141362,-73.9533221
secondary,25 mph,3,yes,40.7424974,-73.9889041
secondary,25 mph,2,no,40.7143935,-73.9847814
primary,25 mph,2,yes,40.758897,-73.9976885
secondary,25 mph,4,no,40.7913372,-73.9649411
unclassified,15 mph,1,yes,40.756509,-73.9559256
tertiary,15 mph,1,yes,40.7575315,-73.9538428
tertiary,15 mph,1,yes,40.7576297,-73.9538056
residential,25 mph,1,yes,40.742854,-73.9887149
secondary,20 mph,3,yes,40.7196776,-74.0068368
secondary,20 mph,1,yes,40.718574,-74.0068505
secondary,20 mph,3,yes,40.716696,-74.0065388
primary,25 mph,3,yes,40.7223502,-73.9864752
primary,25 mph,3,yes,40.7236032,-73.9906371
residential,25 mph,1,no,40.7136255,-73.980231
primary,20 mph,3,yes,40.7141288,-73.9925243
residential,25 mph,2,no,40.7118682,-73.9806672
secondary,20 mph,2,no,40.7139611,-73.991352
primary,25 mph,2,yes,40.7299511,-73.9912528
primary,25 mph,3,no,40.7306156,-73.9499297
residential,25 mph,1,no,40.7018997,-73.9847324
primary,25 mph,4,yes,40.7749357,-73.9806098
primary,25 mph,3,yes,40.7745427,-73.9809024
primary,25 mph,2,no,40.7139092,-73.9797468
residential,20 mph,1,yes,40.7178526,-74.0043976
residential,20 mph,1,yes,40.7109195,-73.9921627
residential,25 mph,1,yes,40.7151092,-73.978205
residential,25 mph,1,yes,40.7336846,-74.0026847
service,5 mph,1,no,40.7769876,-73.9864147
motorway,40 mph,3,yes,40.7623502,-73.9547905
motorway,40 mph,3,yes,40.7642633,-73.9527626
residential,20 mph,1,yes,40.7137435,-73.9973938
primary,20 mph,3,yes,40.7133472,-73.9926852
primary,25 mph,2,yes,40.7230934,-73.98899
residential,25 mph,1,no,40.7171809,-73.9889102
secondary,25 mph,2,yes,40.7606499,-73.9624592
primary,25 mph,6,no,40.7236643,-73.9910533
secondary,25 mph,2,no,40.728606,-73.9573881
primary,25 mph,2,yes,40.7358633,-73.9895978
living_street,10 mph,1,yes,40.7381577,-73.9900389
residential,25 mph,1,yes,40.7356106,-73.9885639
living_street,10 mph,1,yes,40.7385743,-73.9899283
tertiary,25 mph,3,yes,40.7755123,-73.9860246
secondary_link,20 mph,1,yes,40.7293468,-74.0054927
secondary,25 mph,3,yes,40.72896,-74.0052709
trunk,30 mph,4,yes,40.7594085,-74.0030446
secondary,25 mph,4,no,40.7786322,-73.9816848
unclassified,25 mph,3,yes,40.7475875,-73.9756353
residential,25 mph,2,yes,40.747585,-73.9747459
primary,25 mph,3,yes,40.7701652,-73.98409
primary,25 mph,4,yes,40.7705902,-73.9837788
residential,25 mph,1,yes,40.7378363,-73.9847373
trunk,30 mph,4,yes,40.7478116,-74.007697
trunk,30 mph,4,yes,40.7496631,-74.0083457
secondary,25 mph,2,yes,40.7487362,-74.0071297
secondary,25 mph,4,no,40.7469825,-74.0024409
primary,25 mph,5,yes,40.7480289,-74.0039239
residential,20 mph,2,yes,40.7134894,-74.0108711
residential,20 mph,1,yes,40.718686,-74.0079856
residential,20 mph,2,yes,40.7202097,-74.0109736
residential,20 mph,1,yes,40.7200454,-74.0093504
residential,20 mph,1,yes,40.7229924,-74.0116111
residential,25 mph,1,yes,40.7453173,-73.975071
primary,25 mph,1,yes,40.745481,-73.974531
secondary,25 mph,1,no,40.7093439,-73.9607757
residential,25 mph,1,yes,40.7001239,-73.9504359
primary,25 mph,2,yes,40.7205771,-73.9986465
secondary,25 mph,1,yes,40.7199365,-73.9987876
residential,20 mph,1,yes,40.7108983,-73.9922822
residential,20 mph,1,yes,40.7109353,-73.9920492
trunk,30 mph,3,yes,40.7484474,-74.0076592
residential,25 mph,1,yes,40.7674413,-73.9650162
secondary,25 mph,3,yes,40.7663028,-73.9652184
primary,25 mph,5,yes,40.7593053,-73.9957065
primary,25 mph,6,no,40.7300046,-73.989587
residential,25 mph,1,yes,40.7300317,-73.9891999
primary,25 mph,4,no,40.7279084,-73.9911158
residential,25 mph,1,yes,40.7429666,-73.9552682
secondary,25 mph,2,yes,40.7255497,-74.0076051
secondary,25 mph,1,yes,40.7254428,-73.996764
secondary,20 mph,3,yes,40.7178107,-74.0056742
secondary,20 mph,3,yes,40.716269,-74.0068731
trunk,20 mph,4,yes,40.723712,-74.0079396
trunk,20 mph,2,yes,40.723342,-74.0074697
motorway_link,25 mph,1,yes,40.7242555,-74.0068407
motorway_link,25 mph,1,yes,40.7242791,-74.0072787
motorway_link,25 mph,2,yes,40.7209105,-74.0070066
primary,25 mph,6,yes,40.7587645,-73.9960998
residential,25 mph,1,yes,40.717804,-73.9852396
primary,25 mph,5,yes,40.7554504,-73.9964705
secondary,25 mph,4,yes,40.7435332,-73.9960568
secondary,25 mph,4,yes,40.7327402,-74.0033059
primary,25 mph,5,yes,40.7443427,-73.9731019
primary,25 mph,4,yes,40.7446404,-73.9728876
primary,25 mph,4,yes,40.7452757,-73.972423
primary,25 mph,4,yes,40.7449511,-73.9726615
primary,25 mph,5,yes,40.7319377,-73.9821285
primary,25 mph,4,yes,40.7321779,-73.9819529
primary,25 mph,5,yes,40.7324956,-73.9817227
primary,25 mph,4,yes,40.7327929,-73.9815048
primary,25 mph,5,yes,40.7329948,-73.9813535
unclassified,25 mph,1,yes,40.7095197,-74.0118339
unclassified,20 mph,2,yes,40.7099152,-74.012757
primary,25 mph,4,yes,40.7461858,-73.9717586
primary,25 mph,1,yes,40.7191418,-73.9904092
residential,25 mph,1,yes,40.7175747,-73.9858444
secondary,20 mph,3,yes,40.715298,-74.0076393
secondary,20 mph,4,yes,40.7157185,-74.0073061
primary,25 mph,4,yes,40.7308273,-73.9829409
primary,25 mph,4,yes,40.7305593,-73.9831357
primary,25 mph,4,yes,40.7299191,-73.9836028
primary,25 mph,4,yes,40.7292414,-73.984097
primary,25 mph,4,yes,40.7284919,-73.9846553
primary,25 mph,4,yes,40.7280817,-73.9849566
primary,25 mph,4,yes,40.7272935,-73.98553
primary,25 mph,4,yes,40.7268586,-73.9858476
secondary,20 mph,2,yes,40.7184304,-74.0052933
residential,20 mph,1,yes,40.7182733,-74.005313
secondary,20 mph,3,yes,40.7192058,-74.0051879
residential,25 mph,1,yes,40.7213371,-73.9903415
primary,25 mph,4,yes,40.7196921,-73.9916763
secondary,25 mph,4,yes,40.7465978,-73.9796042
secondary,25 mph,4,yes,40.7477899,-73.9787365
secondary,25 mph,5,yes,40.7616534,-73.9976885
secondary,25 mph,3,yes,40.7007538,-73.9901343
primary,25 mph,3,yes,40.7259998,-73.9962932
primary,25 mph,2,yes,40.7261681,-73.996151
motorway,40 mph,3,yes,40.7108374,-73.9818597
motorway,40 mph,4,yes,40.7110332,-73.9799012
motorway,50 mph,3,yes,40.7864994,-73.9835916
motorway,50 mph,3,yes,40.784485,-73.9846643
motorway,40 mph,3,yes,40.7547192,-73.9623491
motorway,40 mph,4,yes,40.7551992,-73.9618776
motorway,25 mph,3,yes,40.702124,-74.0093673
motorway,40 mph,3,yes,40.7129919,-73.9788442
motorway,40 mph,3,yes,40.713324,-73.9779079
motorway,40 mph,4,yes,40.7159752,-73.9759614
motorway,40 mph,3,yes,40.7060156,-74.0031475
residential,20 mph,1,yes,40.7117411,-74.0004246
residential,20 mph,2,no,40.7115298,-74.0008392
